,$Name,$_PRimaryGroup,$Parent,$OpeningBalance,$ClosingBalance,$_PrevYearBalance,$IsRevenue,$PartyGSTIN,$MasterId,$AlterID,$Nature_Led,$UpdatedDate,$UpdatedTime,$CreatedBy,$CreatedDate,$AlteredDate,$AlteredBy,$LastVoucherDate,$CompanyName,$Year_from,$Year_to,$Company_number,$Path,$Amount,$Date,$VoucherNumber,$Type
0,1002020834/ICICI BANK (Frozen),New Ledgers,New Ledgers,0.0,,,0.0,,3774.0,16150.0,BS,2024-12-06,163505000.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1,1002020834/ICICI BANK LIMITED,Bank Accounts,Bank Accounts,101136.92,0.0,101136.92,0.0,,272.0,12526.0,BS,,0.0,,,,,2024-11-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2,1002030013/CITI BANK,Bank Accounts,Bank Accounts,-688680035.51,0.0,-688680035.51,0.0,,238.0,12492.0,BS,,0.0,,,,,2024-11-04,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
3,1002030013/CITI BANK(Frozen),New Ledgers,New Ledgers,0.0,,,0.0,,3763.0,16139.0,BS,2024-12-06,163505000.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
4,1002040001/HSBC BANK (Frozen),New Ledgers,New Ledgers,0.0,,,0.0,,3765.0,16141.0,BS,2024-12-06,163505000.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
5,1002040001/HSBC BANK LIMITED,Bank Accounts,Bank Accounts,90581567.4,0.0,90581567.4,0.0,,233.0,12487.0,BS,,0.0,,,,,2024-11-04,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
6,1002100003/HSBC BANK LIMITED,Bank Accounts,Bank Accounts,0.0,61033307.41,,0.0,,3764.0,16209.0,BS,2024-12-06,164522000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
7,1002100004/ICICI BANK LIMITED,Bank Accounts,Bank Accounts,0.0,101136.92,,0.0,,3775.0,16210.0,BS,2024-12-06,164534000.0,,,,,2024-11-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
8,1002100005/CITI BANK,Bank Accounts,Bank Accounts,0.0,-798181888.84,,0.0,,3762.0,16211.0,BS,2024-12-06,164604000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
9,1012010100/OTH CS & BA(Frozen),New Ledgers,New Ledgers,0.0,,,0.0,,3767.0,16143.0,BS,2024-12-06,163505000.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
